Variable Name,Variable Description,Component
DXXINA,Intertrochanter area,Examination
DXXINBMC,Intertrochanter BMC,Examination
DXXINBMD,Intertrochanter BMD,Examination
DXXNKA,Femoral neck area,Examination
DXXNKBMC,Femoral neck BMC,Examination
DXXNKBMD,Femoral neck BMD,Examination
DXXOFA,Total femur area,Examination
DXXOFBMC,Total femur BMC,Examination
DXXOFBMD,Total femur BMD,Examination
DXXTRA,Trochanter area,Examination
DXXTRBMC,Trochanter BMC,Examination
DXXTRBMD,Trochanter BMD,Examination
DXXWDA,Wards triangle area,Examination
DXXWDBMC,Wards triangle BMC,Examination
DXXWDBMD,Wards triangle BMD,Examination
SEQN,Respondent sequence number.,Examination
DXAEXSTS,Exam Status,Examination
DXAHEBV,Head Bone Invalidity Code,Examination
DXAHETV,Head Tissue Invalidity Code,Examination
DXALABV,Left Arm Bone Invalidity Code,Examination
DXALATV,Left Arm Tissue Invalidity Code,Examination
DXALLBV,Left Leg Bone Invalidity Code,Examination
DXALLTV,Left Leg Tissue Invalidity Code,Examination
DXARABV,Right Arm Bone Invalidity Code,Examination
DXARATV,Right Arm Tissue Invalidity Code,Examination
DXARLBV,Right Leg Bone Invalidity Code,Examination
DXARLTV,Right Leg Tissue Invalidity Code,Examination
DXATRBV,Trunk Bone Invalidity Code,Examination
DXATRTV,Trunk Tissue Invalidity Code,Examination
DXDHELE,Head Lean excl Bone Mineral Content (grams),Examination
DXDHEPF,Head Percent Fat,Examination
DXDHETOT,Head Total (grams),Examination
DXDLALE,Left Arm Lean excl Body Mineral Content (grams),Examination
DXDLAPF,Left Arm Percent Fat,Examination
DXDLATOT,Left Arm Total (grams),Examination
DXDLLLE,Left Leg Lean excl Bone Mineral Content (grams),Examination
DXDLLPF,Left Leg Percent Fat,Examination
DXDLLTOT,Left Leg Total (grams),Examination
DXDRALE,Right Arm Lean excl Bone Mineral Content (grams),Examination
DXDRAPF,Right Arm Percent Fat,Examination
DXDRATOT,Right Arm Total (grams),Examination
DXDRLLE,Right Leg Lean excl Bone Mineral Content (grams),Examination
DXDRLPF,Right Leg Percent Fat,Examination
DXDRLTOT,Right Leg Total (grams),Examination
DXDSTA,Subtotal Area (cm^2),Examination
DXDSTBMC,Subtotal Bone Mineral Content (grams),Examination
DXDSTBMD,Subtotal Bone Mineral Density (grams/cm^2),Examination
DXDSTFAT,Subtotal Fat (g),Examination
DXDSTLE,Subtotal Lean excl BMC (g),Examination
DXDSTLI,Subtotal Lean incl BMC (g),Examination
DXDSTPF,Subtotal Percent Fat,Examination
DXDSTTOT,Subtotal (Total excl Head) (g),Examination
DXDTOA,Total Area (cm^2),Examination
DXDTOBMC,Total Bone Mineral Content (g),Examination
DXDTOBMD,Total Bone Mineral Density (g/cm^2),Examination
DXDTOFAT,Total Fat (g),Examination
DXDTOLE,Total Lean excl BMC (g),Examination
DXDTOLI,Total Lean incl BMC (g),Examination
DXDTOPF,Total Percent Fat,Examination
DXDTOTOT,Total Lean+Fat(g),Examination
DXDTRA,Trunk Bone area (cm^2),Examination
DXDTRBMC,Trunk Bone Mineral Content (grams),Examination
DXDTRBMD,Trunk Bone BMD (g/cm^2),Examination
DXDTRLE,Trunk Lean excl Bone Mineral Content (grams),Examination
DXDTRPF,Trunk Percent Fat,Examination
DXDTRTOT,Trunk Total (grams),Examination
DXXHEA,Head Area (cm^2),Examination
DXXHEBMC,Head Bone Mineral Content (grams),Examination
DXXHEBMD,Head Bone Mineral Density (grams/cm^2),Examination
DXXHEFAT,Head Fat (grams),Examination
DXXHELI,Head Lean incl Bone Mineral Content (grams),Examination
DXXLAA,Left Arm Area (cm^2),Examination
DXXLABMC,Left Arm Body Mineral Content (grams),Examination
DXXLABMD,Left Arm Body Mineral Density (grams/cm^2),Examination
DXXLAFAT,Left Arm Fat (grams),Examination
DXXLALI,Left Arm Lean incl BMC (grams),Examination
DXXLLA,Left Leg Area(cm^2),Examination
DXXLLBMC,Left Leg Bone Mineral Content (grams),Examination
DXXLLBMD,Left Leg Bone Mineral Density (grams/cm^2),Examination
DXXLLFAT,Left Leg Fat (grams),Examination
DXXLLLI,Left Leg Lean incl Bone Mineral Content (grams),Examination
DXXLRA,Left Ribs Area(cm^2),Examination
DXXLRBMC,Left Ribs Bone Mineral Content (grams),Examination
DXXLRBMD,Left Ribs Bone Mineral Density (grams/cm^2),Examination
DXXLSA,Lumbar Spine Area (cm^2),Examination
DXXLSBMC,Lumbar Spine Bone Mineral Content (grams),Examination
DXXLSBMD,Lumbar Spine Bone Mineral Density (grams/cm^2),Examination
DXXPEA,Pelvis Area (cm^2),Examination
DXXPEBMC,Pelvis Bone Mineral Content (grams),Examination
DXXPEBMD,Pelvis Bone Mineral Density (grams/cm^2),Examination
DXXRAA,Right Arm Area (cm^2),Examination
DXXRABMC,Right Arm Bone Mineral Content (grams),Examination
DXXRABMD,Right Arm Bone Mineral Density (grams/cm^2),Examination
DXXRAFAT,Right Arm Fat (grams),Examination
DXXRALI,Right Arm Lean incl Bone Mineral Content (grams),Examination
DXXRLA,Right Leg Area (cm^2),Examination
DXXRLBMC,Right Leg Bone Mineral Content (grams),Examination
DXXRLBMD,Right Leg Bone Mineral Density (grams/cm^2),Examination
DXXRLFAT,Right Leg Fat (grams),Examination
DXXRLLI,Right Leg Lean incl Bone Mineral Content (grams),Examination
DXXRRA,Right Ribs Area (cm^2),Examination
DXXRRBMC,Right Ribs Bone Mineral Content (grams),Examination
DXXRRBMD,Right Ribs Bone Mineral Density (grams/cm^2),Examination
DXXTRFAT,Trunk Fat (grams),Examination
DXXTRLI,Trunk Lean incl Bone Mineral Content (grams),Examination
DXXTSA,Thoracic Spine Area (cm^2),Examination
DXXTSBMC,Thoracic Spine Bone Mineral Content (grams),Examination
DXXTSBMD,Thoracic Spine Bone Mineral Density (grams/cm^2),Examination
SEQN,Respondent sequence number,Examination
DXASPND0,Calculated DO for spine,Examination
DXASPNK,Calculated K for spine,Examination
DXASPNST,Spine scan status,Examination
DXXL1A,L1 area,Examination
DXXL1BCC,L1 BMD invalidity code,Examination
DXXL1BMC,L1 BMC,Examination
DXXL1BMD,L1 BMD,Examination
DXXL2A,L2 area,Examination
DXXL2BCC,L2 BMD invalidity code,Examination
DXXL2BMC,L2 BMC,Examination
DXXL2BMD,L2 BMD,Examination
DXXL3A,L3 area,Examination
DXXL3BCC,L3 BMD invalidity code,Examination
DXXL3BMC,L3 BMC,Examination
DXXL3BMD,L3 BMD,Examination
DXXL4A,L4 area,Examination
DXXL4BCC,L4 BMD invalidity code,Examination
DXXL4BMC,L4 BMC,Examination
DXXL4BMD,L4 BMD,Examination
DXXOSA,Total spine area,Examination
DXXOSBCC,Total spine BMD invalidity code,Examination
DXXOSBMC,Total spine BMC,Examination
DXXOSBMD,Total spine BMD,Examination
SEQN,Respondent sequence number.,Examination
LUANMTGP,Total number of measures attempted (using final wand).,Examination
LUANMVGP,Total number of complete measures retained (using final wand).,Examination
LUAPNME,Exam wand type.,Examination
LUARXIN,Reason ineligible.,Examination
LUARXNC,Reason for partial exam.,Examination
LUARXND,Reason exam not done.,Examination
LUATECH,Health technician code.,Examination
LUAXSTAT,Elastography exam status.,Examination
LUXCAPM,"Median controlled attenuated parameter (CAP) This indicator is presented as a whole number XXX, and the units for this measure are decibels per meter (dB/m).",Examination
LUXCPIQR,Controlled attenuated parameter (CAP) interquartile range (IQRc) of final CAP measures. This indicator is presented as a whole number (e.g. XX).,Examination
LUXSIQR,"Stiffness (E) interquartile range (IQRe) of final stiffness measures. This indicator is presented with one digit to the right of the decimal, (e.g. XX.X).",Examination
LUXSIQRM,"Ratio of the stiffness IQRe / median E stiffness value. This indicator is presented as a percent with one digit to the right of the decimal, (e.g.  XX.X %).",Examination
LUXSMED,"Median liver stiffness (E) This indicator is presented with one digit to the right of the decimal ratio (e.g. XX.X), and the units for this measure are kilopascals (kPa).",Examination
SEQN,Respondent sequence number.,Examination
DXXAGRAT,Android to gynoid ratio,Examination
DXXAGST,Android/gynoid region status,Examination
DXXANFM,Android fat mass,Examination
DXXANLM,Android lean mass,Examination
DXXANTOM,Android total mass,Examination
DXXANTV,Android region invalidity code,Examination
DXXAPFAT,Android percent fat,Examination
DXXGPFAT,Gynoid percent fat,Examination
DXXGYFM,Gynoid fat mass,Examination
DXXGYLM,Gynoid lean mass,Examination
DXXGYTOM,Gynoid total mass,Examination
DXXGYTV,Gynoid region invalidity code,Examination
DXXSATA,Subcutaneous fat area,Examination
DXXSATM,Subcutaneous fat mass,Examination
DXXSATV,Subcutaneous fat volume,Examination
DXXTATA,Total abdominal fat area,Examination
DXXTATM,Total abdominal fat mass,Examination
DXXTATV,Total abdominal fat volume,Examination
DXXVATV,VAT and SAT invalidity code,Examination
DXXVFATA,Visceral adipose tissue area,Examination
DXXVFATM,Visceral adipose tissue mass,Examination
DXXVFATV,Visceral adipose tissue volume,Examination
SEQN,Respondent sequence number.,Examination
BPAOARM,Arm selected - oscillometric,Examination
BPAOCSZ,Mid arm circumference (cm) cuffing parameters - oscillometric,Examination
BPAOMNTS,Difference in minutes between blood pressure obtained by a physician with a mercury sphygmomanometer (legacy) and blood pressure obtained by a health technician with an oscillometric device.,Examination
BPXODI1,Diastolic - 1st oscillometric reading,Examination
BPXODI2,Diastolic - 2nd oscillometric reading,Examination
BPXODI3,Diastolic - 3rd oscillometric reading,Examination
BPXOPLS1,Pulse - 1st oscillometric reading,Examination
BPXOPLS2,Pulse - 2nd oscillometric reading,Examination
BPXOPLS3,Pulse - 3rd oscillometric reading,Examination
BPXOSY1,Systolic - 1st oscillometric reading,Examination
BPXOSY2,Systolic - 2nd oscillometric reading,Examination
BPXOSY3,Systolic - 3rd oscillometric reading,Examination
SEQN,Respondent sequence number.,Examination
AUAEAR,Which ear tested first?,Examination
AUAEXCMT,Comment code for an Audio Exam,Examination
AUAEXSTS,Status of an Audiometry Exam,Examination
AUAFMANL,Frequency at Which Switched From Auto to Manual Audio Testing (Left),Examination
AUAFMANR,Frequency at Which Switched From Auto to Manual Audio Testing (Right),Examination
AUALEQC,Quality Code for Tympanogram  of Left Ear,Examination
AUAMODE,Mode of Audiometric Test (Manual/Automatic/Mixed),Examination
AUAREQC,Quality Code for Tympanogram of Right Ear,Examination
AUATYMTL,"Tympanogram Type, Left Ear",Examination
AUATYMTR,"Tympanogram Type, Right Ear",Examination
AUDLOABC,"Other Exam Abnormality, Left, Comment",Examination
AUDROABC,"Other Exam Abnormality, Right, Comment",Examination
AUQ010,"Do you now have a tube in your right or left ear? (If yes, indicate affected ear(s))",Examination
AUQ011,"Do you now have a tube in your right or left ear? (If yes, indicate affected ear(s))",Examination
AUQ020,"Have you had a cold, sinus problem, or earache in the last 24 hours?",Examination
AUQ020A,Have you had a cold in the last 24 hours?,Examination
AUQ020B,Have you had a sinus problem in the last 24 hours?,Examination
AUQ020C,Have you had an earache in the right ear in the last 24 hours?,Examination
AUQ020D,Have you had an earache in left ear in the last 24 hours?,Examination
AUQ020E,Have you had an earache in both ears in the last 24 hours?,Examination
AUQ031,"In the past 24 hours, have you been exposed to noise so loud that you would have had to raise your voice to speak to someone an arm's length away?",Examination
AUQ041,How many hours ago did the noise end?,Examination
AUQ050,Do you hear better in one ear than the other?,Examination
AUQ051,Is it easier for you to hear out of one ear than the other?,Examination
AUQ520,"In the past 24 hours, have you listened to music with earphones?",Examination
AUQ530,How many hours ago did you stop listening?,Examination
AUQ540,"Do you have a cold, runny nose, or earache today?",Examination
AUQ550,"Did you have a cold, runny nose, or earache yesterday?",Examination
AUQ550A,Have you had a cold today or yesterday?,Examination
AUQ550B,Have you had runny nose today or yesterday?,Examination
AUQ550C,Have you had an earache in right ear today or yesterday?,Examination
AUQ550D,Have you had an earache in left ear today or yesterday?,Examination
AUQ550E,Have you had an earache in both ears today or yesterday?,Examination
AUQ560,Have you listened to sounds today that were so loud you would have to shout so someone close by could hear you?,Examination
AUQ570,Did you listen to any sounds that were that loud yesterday?,Examination
AUQ580,When was that?,Examination
AUQ590,Have you listened to music with earphones today?,Examination
AUQ600,Did you listen to music with earphones yesterday?,Examination
AUQ610,When was that?,Examination
AUXLOABN,"Other Exam Abnormality, Left Ear",Examination
AUXLOCOL,"Collapsing Ear Canal, Left Ear",Examination
AUXLOEXC,"Excessive Cerumen, Left Ear",Examination
AUXLOIMC,"Impacted Cerumen, Left Ear",Examination
AUXOTSPL,Normal:  Left Ear Otoscopy,Examination
AUXR1K1L,Left retest threshold @ 1000Hz in decibels (Hearing Level),Examination
AUXR1K1R,Right retest threshold @ 1000Hz in decibels (Hearing Level),Examination
AUXR1K2L,"Left retest threshold @ 1000Hz, (second reading) in decibels (Hearing Level)",Examination
AUXR1K2R,"Right retest threshold @ 1000Hz, (second reading) in decibels (Hearing Level)",Examination
AUXR2KL,Left retest threshold @ 2000Hz in decibels (Hearing Level),Examination
AUXR2KR,Right retest threshold @ 2000Hz in decibels (Hearing Level),Examination
AUXR3KL,Left retest threshold @ 3000Hz in decibels (Hearing Level),Examination
AUXR3KR,Right retest threshold @ 3000Hz in decibels (Hearing Level),Examination
AUXR4KL,Left retest threshold @ 4000Hz in decibels (Hearing Level),Examination
AUXR4KR,Right retest threshold @ 4000Hz in decibels (Hearing Level),Examination
AUXR5CL,Left retest threshold @ 500Hz in decibels (Hearing Level),Examination
AUXR5CR,Right retest threshold @ 500Hz in decibels (Hearing Level),Examination
AUXR6KL,Left retest threshold @ 6000Hz in decibels (Hearing Level),Examination
AUXR6KR,Right retest threshold @ 6000Hz in decibels (Hearing Level),Examination
AUXR8KL,Left retest threshold @ 8000Hz in decibels (Hearing Level),Examination
AUXR8KR,Right retest threshold @ 8000Hz in decibels (Hearing Level),Examination
AUXROABN,"Other Exam Abnormality, Right Ear",Examination
AUXROCOL,"Collapsing Ear Canal, Right Ear",Examination
AUXROEXC,"Excessive Cerumen, Right Ear",Examination
AUXROIMC,"Impacted Cerumen, Right Ear",Examination
AUXROTSP,Normal:  Right Ear Otoscopy,Examination
AUXTCOML,"Compliance (tympanometry), left ear",Examination
AUXTCOMR,"Compliance (tympanometry), right ear",Examination
AUXTMEPL,"Middle ear pressure (tympanometry), left ear, in daPa (dekaPascals)",Examination
AUXTMEPR,"Middle ear pressure (tympanometry), right ear, in daPa (dekaPascals)",Examination
AUXTPVL,"Physical volume (tympanometry), left ear, in cc",Examination
AUXTPVR,"Physical volume (tympanometry), right ear, in cc",Examination
AUXTWIDL,"Tympanometric width, left ear",Examination
AUXTWIDR,"Tympanometric width, right ear",Examination
AUXU1K1L,Left threshold @ 1000Hz in decibels (Hearing Level),Examination
AUXU1K1R,Right threshold @ 1000Hz in decibels (Hearing Level),Examination
AUXU1K2L,Left threshold @ 1000Hz (second reading) in decibels (Hearing Level),Examination
AUXU1K2R,Right threshold @ 1000Hz (second reading) in decibels (Hearing Level),Examination
AUXU2KL,Left threshold @ 2000Hz in decibels (Hearing Level),Examination
AUXU2KR,Right threshold @ 2000Hz in decibels (Hearing Level),Examination
AUXU3KL,Left threshold @ 3000Hz in decibels (Hearing Level),Examination
AUXU3KR,Right threshold @ 3000Hz in decibels (Hearing Levels),Examination
AUXU4KL,Left threshold @ 4000Hz in decibels (Hearing Level),Examination
AUXU4KR,Right threshold @ 4000Hz in decibels (Hearing Level),Examination
AUXU500L,Left threshold @ 500Hz in decibels (Hearing Level),Examination
AUXU500R,Right threshold @ 500Hz in decibels (Hearing Level),Examination
AUXU6KL,Left threshold @ 6000Hz in decibels (Hearing Level),Examination
AUXU6KR,Right threshold @ 6000Hz in decibels (Hearing Level),Examination
AUXU8KL,Left threshold @ 8000Hz in decibels (Hearing Level),Examination
AUXU8KR,Right threshold @ 8000Hz in decibels (Hearing Level),Examination
SEQN,Respondent sequence number.,Examination
SEQN,Respondent sequence number.,Examination
TYXA001,Admittance Array Data Point 001,Examination
TYXA002,Admittance Array Data Point 002,Examination
TYXA003,Admittance Array Data Point 003,Examination
TYXA004,Admittance Array Data Point 004,Examination
TYXA005,Admittance Array Data Point 005,Examination
TYXA006,Admittance Array Data Point 006,Examination
TYXA007,Admittance Array Data Point 007,Examination
TYXA008,Admittance Array Data Point 008,Examination
TYXA009,Admittance Array Data Point 009,Examination
TYXA010,Admittance Array Data Point 010,Examination
TYXA011,Admittance Array Data Point 011,Examination
TYXA012,Admittance Array Data Point 012,Examination
TYXA013,Admittance Array Data Point 013,Examination
TYXA014,Admittance Array Data Point 014,Examination
TYXA015,Admittance Array Data Point 015,Examination
TYXA016,Admittance Array Data Point 016,Examination
TYXA017,Admittance Array Data Point 017,Examination
TYXA018,Admittance Array Data Point 018,Examination
TYXA019,Admittance Array Data Point 019,Examination
TYXA020,Admittance Array Data Point 020,Examination
TYXA021,Admittance Array Data Point 021,Examination
TYXA022,Admittance Array Data Point 022,Examination
TYXA023,Admittance Array Data Point 023,Examination
TYXA024,Admittance Array Data Point 024,Examination
TYXA025,Admittance Array Data Point 025,Examination
TYXA026,Admittance Array Data Point 026,Examination
TYXA027,Admittance Array Data Point 027,Examination
TYXA028,Admittance Array Data Point 028,Examination
TYXA029,Admittance Array Data Point 029,Examination
TYXA030,Admittance Array Data Point 030,Examination
TYXA031,Admittance Array Data Point 031,Examination
TYXA032,Admittance Array Data Point 032,Examination
TYXA033,Admittance Array Data Point 033,Examination
TYXA034,Admittance Array Data Point 034,Examination
TYXA035,Admittance Array Data Point 035,Examination
TYXA036,Admittance Array Data Point 036,Examination
TYXA037,Admittance Array Data Point 037,Examination
TYXA038,Admittance Array Data Point 038,Examination
TYXA039,Admittance Array Data Point 039,Examination
TYXA040,Admittance Array Data Point 040,Examination
TYXA041,Admittance Array Data Point 041,Examination
TYXA042,Admittance Array Data Point 042,Examination
TYXA043,Admittance Array Data Point 043,Examination
TYXA044,Admittance Array Data Point 044,Examination
TYXA045,Admittance Array Data Point 045,Examination
TYXA046,Admittance Array Data Point 046,Examination
TYXA047,Admittance Array Data Point 047,Examination
TYXA048,Admittance Array Data Point 048,Examination
TYXA049,Admittance Array Data Point 049,Examination
TYXA050,Admittance Array Data Point 050,Examination
TYXA051,Admittance Array Data Point 051,Examination
TYXA052,Admittance Array Data Point 052,Examination
TYXA053,Admittance Array Data Point 053,Examination
TYXA054,Admittance Array Data Point 054,Examination
TYXA055,Admittance Array Data Point 055,Examination
TYXA056,Admittance Array Data Point 056,Examination
TYXA057,Admittance Array Data Point 057,Examination
TYXA058,Admittance Array Data Point 058,Examination
TYXA059,Admittance Array Data Point 059,Examination
TYXA060,Admittance Array Data Point 060,Examination
TYXA061,Admittance Array Data Point 061,Examination
TYXA062,Admittance Array Data Point 062,Examination
TYXA063,Admittance Array Data Point 063,Examination
TYXA064,Admittance Array Data Point 064,Examination
TYXA065,Admittance Array Data Point 065,Examination
TYXA066,Admittance Array Data Point 066,Examination
TYXA067,Admittance Array Data Point 067,Examination
TYXA068,Admittance Array Data Point 068,Examination
TYXA069,Admittance Array Data Point 069,Examination
TYXA070,Admittance Array Data Point 070,Examination
TYXA071,Admittance Array Data Point 071,Examination
TYXA072,Admittance Array Data Point 072,Examination
TYXA073,Admittance Array Data Point 073,Examination
TYXA074,Admittance Array Data Point 074,Examination
TYXA075,Admittance Array Data Point 075,Examination
TYXA076,Admittance Array Data Point 076,Examination
TYXA077,Admittance Array Data Point 077,Examination
TYXA078,Admittance Array Data Point 078,Examination
TYXA079,Admittance Array Data Point 079,Examination
TYXA080,Admittance Array Data Point 080,Examination
TYXA081,Admittance Array Data Point 081,Examination
TYXA082,Admittance Array Data Point 082,Examination
TYXA083,Admittance Array Data Point 083,Examination
TYXA084,Admittance Array Data Point 084,Examination
TYXA085,Admittance Array Data Point 085,Examination
TYXA086,Admittance Array Data Point 086,Examination
TYXA087,Admittance Array Data Point 087,Examination
TYXA088,Admittance Array Data Point 088,Examination
TYXA089,Admittance Array Data Point 089,Examination
TYXA090,Admittance Array Data Point 090,Examination
TYXA091,Admittance Array Data Point 091,Examination
TYXA092,Admittance Array Data Point 092,Examination
TYXA093,Admittance Array Data Point 093,Examination
TYXA094,Admittance Array Data Point 094,Examination
TYXA095,Admittance Array Data Point 095,Examination
TYXA096,Admittance Array Data Point 096,Examination
TYXA097,Admittance Array Data Point 097,Examination
TYXA098,Admittance Array Data Point 098,Examination
TYXA099,Admittance Array Data Point 099,Examination
TYXA100,Admittance Array Data Point 100,Examination
TYXA101,Admittance Array Data Point 101,Examination
TYXA102,Admittance Array Data Point 102,Examination
TYXA103,Admittance Array Data Point 103,Examination
TYXA104,Admittance Array Data Point 104,Examination
TYXA105,Admittance Array Data Point 105,Examination
TYXA106,Admittance Array Data Point 106,Examination
TYXA107,Admittance Array Data Point 107,Examination
TYXA108,Admittance Array Data Point 108,Examination
TYXA109,Admittance Array Data Point 109,Examination
TYXA110,Admittance Array Data Point 110,Examination
TYXA111,Admittance Array Data Point 111,Examination
TYXA112,Admittance Array Data Point 112,Examination
TYXA113,Admittance Array Data Point 113,Examination
TYXA114,Admittance Array Data Point 114,Examination
TYXA115,Admittance Array Data Point 115,Examination
TYXA116,Admittance Array Data Point 116,Examination
TYXA117,Admittance Array Data Point 117,Examination
TYXA118,Admittance Array Data Point 118,Examination
TYXA119,Admittance Array Data Point 119,Examination
TYXA120,Admittance Array Data Point 120,Examination
TYXA121,Admittance Array Data Point 121,Examination
TYXA122,Admittance Array Data Point 122,Examination
TYXA123,Admittance Array Data Point 123,Examination
TYXA124,Admittance Array Data Point 124,Examination
TYXA125,Admittance Array Data Point 125,Examination
TYXA126,Admittance Array Data Point 126,Examination
TYXA127,Admittance Array Data Point 127,Examination
TYXA128,Admittance Array Data Point 128,Examination
TYXA129,Admittance Array Data Point 129,Examination
TYXA130,Admittance Array Data Point 130,Examination
TYXA131,Admittance Array Data Point 131,Examination
TYXA132,Admittance Array Data Point 132,Examination
TYXA133,Admittance Array Data Point 133,Examination
TYXA134,Admittance Array Data Point 134,Examination
TYXA135,Admittance Array Data Point 135,Examination
TYXA136,Admittance Array Data Point 136,Examination
TYXA137,Admittance Array Data Point 137,Examination
TYXA138,Admittance Array Data Point 138,Examination
TYXA139,Admittance Array Data Point 139,Examination
TYXA140,Admittance Array Data Point 140,Examination
TYXA141,Admittance Array Data Point 141,Examination
TYXA142,Admittance Array Data Point 142,Examination
TYXA143,Admittance Array Data Point 143,Examination
TYXA144,Admittance Array Data Point 144,Examination
TYXA145,Admittance Array Data Point 145,Examination
TYXA146,Admittance Array Data Point 146,Examination
TYXA147,Admittance Array Data Point 147,Examination
TYXA148,Admittance Array Data Point 148,Examination
TYXA149,Admittance Array Data Point 149,Examination
TYXA150,Admittance Array Data Point 150,Examination
TYXA151,Admittance Array Data Point 151,Examination
TYXA152,Admittance Array Data Point 152,Examination
TYXA153,Admittance Array Data Point 153,Examination
TYXA154,Admittance Array Data Point 154,Examination
TYXA155,Admittance Array Data Point 155,Examination
TYXA156,Admittance Array Data Point 156,Examination
TYXA157,Admittance Array Data Point 157,Examination
TYXA158,Admittance Array Data Point 158,Examination
TYXA159,Admittance Array Data Point 159,Examination
TYXA160,Admittance Array Data Point 160,Examination
TYXA161,Admittance Array Data Point 161,Examination
TYXA162,Admittance Array Data Point 162,Examination
TYXA163,Admittance Array Data Point 163,Examination
TYXA164,Admittance Array Data Point 164,Examination
TYXA165,Admittance Array Data Point 165,Examination
TYXA166,Admittance Array Data Point 166,Examination
TYXA167,Admittance Array Data Point 167,Examination
TYXA168,Admittance Array Data Point 168,Examination
TYXA169,Admittance Array Data Point 169,Examination
TYXA170,Admittance Array Data Point 170,Examination
TYXA171,Admittance Array Data Point 171,Examination
TYXA172,Admittance Array Data Point 172,Examination
TYXA173,Admittance Array Data Point 173,Examination
TYXA174,Admittance Array Data Point 174,Examination
TYXA175,Admittance Array Data Point 175,Examination
TYXA176,Admittance Array Data Point 176,Examination
TYXA177,Admittance Array Data Point 177,Examination
TYXA178,Admittance Array Data Point 178,Examination
TYXA179,Admittance Array Data Point 179,Examination
TYXA180,Admittance Array Data Point 180,Examination
TYXA181,Admittance Array Data Point 181,Examination
TYXA182,Admittance Array Data Point 182,Examination
TYXA183,Admittance Array Data Point 183,Examination
TYXA184,Admittance Array Data Point 184,Examination
TYXA185,Admittance Array Data Point 185,Examination
TYXA186,Admittance Array Data Point 186,Examination
TYXA187,Admittance Array Data Point 187,Examination
TYXA188,Admittance Array Data Point 188,Examination
TYXA189,Admittance Array Data Point 189,Examination
TYXA190,Admittance Array Data Point 190,Examination
TYXA191,Admittance Array Data Point 191,Examination
TYXA192,Admittance Array Data Point 192,Examination
TYXA193,Admittance Array Data Point 193,Examination
TYXA194,Admittance Array Data Point 194,Examination
TYXA195,Admittance Array Data Point 195,Examination
TYXA196,Admittance Array Data Point 196,Examination
TYXA197,Admittance Array Data Point 197,Examination
TYXA198,Admittance Array Data Point 198,Examination
TYXA199,Admittance Array Data Point 199,Examination
TYXA200,Admittance Array Data Point 200,Examination
TYXA201,Admittance Array Data Point 201,Examination
TYXA202,Admittance Array Data Point 202,Examination
TYXA203,Admittance Array Data Point 203,Examination
TYXA204,Admittance Array Data Point 204,Examination
TYXA205,Admittance Array Data Point 205,Examination
TYXA206,Admittance Array Data Point 206,Examination
TYXA207,Admittance Array Data Point 207,Examination
TYXA208,Admittance Array Data Point 208,Examination
TYXA209,Admittance Array Data Point 209,Examination
TYXA210,Admittance Array Data Point 210,Examination
TYXA211,Admittance Array Data Point 211,Examination
TYXA212,Admittance Array Data Point 212,Examination
TYXA213,Admittance Array Data Point 213,Examination
TYXA214,Admittance Array Data Point 214,Examination
TYXA215,Admittance Array Data Point 215,Examination
TYXA216,Admittance Array Data Point 216,Examination
TYXA217,Admittance Array Data Point 217,Examination
TYXA218,Admittance Array Data Point 218,Examination
TYXA219,Admittance Array Data Point 219,Examination
TYXA220,Admittance Array Data Point 220,Examination
TYXA221,Admittance Array Data Point 221,Examination
TYXA222,Admittance Array Data Point 222,Examination
TYXA223,Admittance Array Data Point 223,Examination
TYXA224,Admittance Array Data Point 224,Examination
TYXA225,Admittance Array Data Point 225,Examination
TYXA226,Admittance Array Data Point 226,Examination
TYXA227,Admittance Array Data Point 227,Examination
TYXA228,Admittance Array Data Point 228,Examination
TYXA229,Admittance Array Data Point 229,Examination
TYXA230,Admittance Array Data Point 230,Examination
TYXA231,Admittance Array Data Point 231,Examination
TYXA232,Admittance Array Data Point 232,Examination
TYXA233,Admittance Array Data Point 233,Examination
TYXA234,Admittance Array Data Point 234,Examination
TYXA235,Admittance Array Data Point 235,Examination
TYXA236,Admittance Array Data Point 236,Examination
TYXA237,Admittance Array Data Point 237,Examination
TYXA238,Admittance Array Data Point 238,Examination
TYXA239,Admittance Array Data Point 239,Examination
TYXA240,Admittance Array Data Point 240,Examination
TYXA241,Admittance Array Data Point 241,Examination
TYXA242,Admittance Array Data Point 242,Examination
TYXA243,Admittance Array Data Point 243,Examination
TYXA244,Admittance Array Data Point 244,Examination
TYXA245,Admittance Array Data Point 245,Examination
TYXA246,Admittance Array Data Point 246,Examination
TYXA247,Admittance Array Data Point 247,Examination
TYXA248,Admittance Array Data Point 248,Examination
TYXA249,Admittance Array Data Point 249,Examination
TYXA250,Admittance Array Data Point 250,Examination
TYXA251,Admittance Array Data Point 251,Examination
TYXA252,Admittance Array Data Point 252,Examination
TYXA253,Admittance Array Data Point 253,Examination
TYXA254,Admittance Array Data Point 254,Examination
TYXA255,Admittance Array Data Point 255,Examination
TYXA256,Admittance Array Data Point 256,Examination
TYXP001,Pressure Array Data Point 001,Examination
TYXP002,Pressure Array Data Point 002,Examination
TYXP003,Pressure Array Data Point 003,Examination
TYXP004,Pressure Array Data Point 004,Examination
TYXP005,Pressure Array Data Point 005,Examination
TYXP006,Pressure Array Data Point 006,Examination
