Variable Name,Component,Variable Description
OHX20RSC,Examination,"Coronal Caries: Secondary restoration surface call - Lower left 2nd bicuspid/2nd primary molar (2B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX20RTC,Examination,Coronal Caries: Second restoration present - Lower left 2nd bicuspid/2nd primary molar (2B)
OHX20SE,Examination,"Dental Sealants:  Lower left 2nd bicuspid/2nd primary molar (2B) sealant codes.
These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX20TC,Examination,Tooth Count:  Lower left 2nd bicuspid/2nd primary molar (2B)
OHX21CSC,Examination,"Coronal Caries:  Lower left 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX21CTC,Examination,Coronal Caries:  Lower left 1st bicuspid/1st primary molar (1B) tooth code
OHX21RSC,Examination,"Coronal Caries: Secondary restoration surface call - Lower left 1st bicuspid/2nd primary molar (1B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX21RTC,Examination,Coronal Caries: Second restoration present - Lower left 1st bicuspid/2nd primary molar (1B)
OHX21SE,Examination,"Dental Sealants:  Lower left 1st bicuspid/1st primary molar (1B) sealant codes.
These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX21TC,Examination,Tooth Count:  Lower left 1st bicuspid/1st primary molar (1B)
OHX22CSC,Examination,"Coronal Caries:  Lower left cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX22CTC,Examination,Coronal Caries:  Lower left cuspid (C) tooth code
OHX22RSC,Examination,"Coronal Caries: Secondary restoration surface call - Lower left cuspid (C). These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX22RTC,Examination,Coronal Caries: Second restoration present - Lower left cuspid (C)
OHX22TC,Examination,Tooth Count:  Lower left cuspid (C)
OHX23CSC,Examination,"Coronal Caries:  Lower left lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX23CTC,Examination,Coronal Caries:  Lower left lateral incisor (LI) tooth code
OHX23RSC,Examination,"Coronal Caries: Secondary restoration surface call - Lower left lateral incisor (LI). These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX23RTC,Examination,Coronal Caries: Second restoration present - Lower left lateral incisor (LI)
OHX23TC,Examination,Tooth Count:  Lower left lateral incisor (LI)
OHX24CSC,Examination,"Coronal Caries:  Lower left central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX24CTC,Examination,Coronal Caries:  Lower left central incisor (CI) tooth code
OHX24RSC,Examination,"Coronal Caries: Secondary restoration surface call - Lower left central incisor (CI). These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX24RTC,Examination,Coronal Caries: Second restoration present - Lower left central incisor (CI)
OHX24TC,Examination,Tooth Count:  Lower left central incisor (CI)
OHX25CSC,Examination,"Coronal Caries:  Lower right central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX25CTC,Examination,Coronal Caries:  Lower right central incisor (CI) tooth code
OHX25RSC,Examination,"Coronal Caries: Secondary restoration surface call - Lower right central incisor (CI). These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX25RTC,Examination,Coronal Caries: Second restoration present - Lower right central incisor (CI)
OHX25TC,Examination,Tooth Count:  Lower right central incisor (CI)
OHX26CSC,Examination,"Coronal Caries:  Lower right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX26CTC,Examination,Coronal Caries:  Lower right lateral incisor (LI) tooth code
OHX26RSC,Examination,"Coronal Caries: Secondary restoration surface call - Lower right lateral incisor (LI). These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX26RTC,Examination,Coronal Caries: Second restoration present - Lower right lateral incisor (LI)
OHX26TC,Examination,Tooth Count:  Lower right lateral incisor (LI)
OHX27CSC,Examination,"Coronal Caries:  Lower right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX27CTC,Examination,Coronal Caries:  Lower right cuspid (C) tooth code
OHX27RSC,Examination,"Coronal Caries: Secondary restoration surface call - Lower right cuspid (C). These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX27RTC,Examination,Coronal Caries: Second restoration present - Lower right cuspid (C)
OHX27TC,Examination,Tooth Count:  Lower right cuspid (C)
OHX28CSC,Examination,"Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX28CTC,Examination,Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) tooth code
OHX28RSC,Examination,"Coronal Caries: Secondary restoration surface call - Lower right 1st bicuspid/2nd primary molar (1B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX28RTC,Examination,Coronal Caries: Second restoration present - Lower right1st bicuspid/2nd primary molar (1B)
OHX28SE,Examination,"Dental Sealants:  Lower right 1st bicuspid/1st primary molar (1B) sealant codes.
These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX28TC,Examination,Tooth Count:  Lower right 1st bicuspid/1st primary molar (1B)
OHX29CSC,Examination,"Coronal Caries:  Lower right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX29CTC,Examination,Coronal Caries:  Lower right 2nd bicuspid/2nd primary molar (2B) tooth code
OHX29RSC,Examination,"Coronal Caries: Secondary restoration surface call - Lower right 2nd bicuspid/2nd primary molar (2B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX29RTC,Examination,Coronal Caries: Second restoration present - Lower right 2nd bicuspid/2nd primary molar (2B)
OHX29SE,Examination,"Dental Sealants:  Lower right 2nd bicuspid/2nd primary molar (2B) sealant codes.
These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX29TC,Examination,Tooth Count:  Lower right 2nd bicuspid/2nd primary molar (2B)
OHX30CSC,Examination,"Coronal Caries:  Lower right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX30CTC,Examination,Coronal Caries:  Lower right 1st molar (1M) tooth code
OHX30RSC,Examination,"Coronal Caries: Secondary restoration surface call - Lower right 1st molar (1M). These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX30RTC,Examination,Coronal Caries: Second restoration present - Lower right 1st molar (1M)
OHX30SE,Examination,"Dental Sealants:  Lower right 1st molar (1M) sealant codes.
These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX30TC,Examination,Tooth Count:  Lower right 1st molar (1M)
OHX31CSC,Examination,"Coronal Caries:  Lower right 2nd molar (2M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX31CTC,Examination,Coronal Caries:  Lower right 2nd molar (2M) tooth code
OHX31RSC,Examination,"Coronal Caries: Secondary restoration surface call - Lower right 2nd molar (2M). These values can be recorded as a string variable, for example:""0"", ""13"", ""468""."
OHX31RTC,Examination,Coronal Caries: Second restoration present - Lower right 2nd molar (2M)
OHX31SE,Examination,"Dental Sealants:  Lower right 2nd molar (2M) sealant codes.
These values can be recorded as a string variable, for example:""0"", ""12"", ""13""."
OHX31TC,Examination,Tooth Count:  Lower right 2nd molar (2M)
OHX32TC,Examination,Tooth Count:  Lower right 3rd molar (3M)
OHXIMP,Examination,Tooth Count:  Ever had a tooth replaced with a surgical implant?
OHXRCAR,Examination,Root Caries: Whole mouth
OHXRCARO,Examination,Other non-carious root lesions (erosions/abrasions): Whole mouth
OHXRRES,Examination,Root restorations for caries: Whole mouth
OHXRRESO,Examination,Root restoration for reasons other than caries: Whole mouth
SEQN,Examination,Respondent sequence number.
OHAPOS,Examination,Was the SP in a recumbent (laying down) position for all eligible assessments of the oral health exam?
OHAREC,Examination,Overall recommendation for care
OHARNF,Examination,No significant findings
OHAROCCI,Examination,Clinical impression of soft tissue condition
OHAROCDE,Examination,Denture/Partial Denture/Plates
OHAROCDT,Examination,Decayed teeth
OHAROCGP,Examination,Gum disease/problem
OHAROCOH,Examination,Oral hygiene
OHAROTH,Examination,Some other finding (specify w/referral letter)
OHDEXSTS,Examination,Overall Oral Health Exam Status
OHDRCSTS,Examination,Recommendation Care Status Code
SEQN,Examination,Respondent sequence number.
DXAFMRD0,Examination,Calculated DO for femur
DXAFMRK,Examination,Calculated K for femur
DXAFMRST,Examination,Femur scan status
DXXFMBCC,Examination,Total femur BMD invalidity code
DXXINA,Examination,Intertrochanter area
DXXINBMC,Examination,Intertrochanter BMC
DXXINBMD,Examination,Intertrochanter BMD
DXXNKA,Examination,Femoral neck area
DXXNKBMC,Examination,Femoral neck BMC
DXXNKBMD,Examination,Femoral neck BMD
DXXOFA,Examination,Total femur area
DXXOFBMC,Examination,Total femur BMC
DXXOFBMD,Examination,Total femur BMD
DXXTRA,Examination,Trochanter area
DXXTRBMC,Examination,Trochanter BMC
DXXTRBMD,Examination,Trochanter BMD
DXXWDA,Examination,Wards triangle area
DXXWDBMC,Examination,Wards triangle BMC
DXXWDBMD,Examination,Wards triangle BMD
SEQN,Examination,Respondent sequence number.
DXAEXSTS,Examination,Exam Status
DXAHEBV,Examination,Head Bone Invalidity Code
DXAHETV,Examination,Head Tissue Invalidity Code
DXALABV,Examination,Left Arm Bone Invalidity Code
DXALATV,Examination,Left Arm Tissue Invalidity Code
DXALLBV,Examination,Left Leg Bone Invalidity Code
DXALLTV,Examination,Left Leg Tissue Invalidity Code
DXARABV,Examination,Right Arm Bone Invalidity Code
DXARATV,Examination,Right Arm Tissue Invalidity Code
DXARLBV,Examination,Right Leg Bone Invalidity Code
DXARLTV,Examination,Right Leg Tissue Invalidity Code
DXATRBV,Examination,Trunk Bone Invalidity Code
DXATRTV,Examination,Trunk Tissue Invalidity Code
DXDHELE,Examination,Head Lean excl Bone Mineral Content (grams)
DXDHEPF,Examination,Head Percent Fat
DXDHETOT,Examination,Head Total (grams)
DXDLALE,Examination,Left Arm Lean excl Body Mineral Content (grams)
DXDLAPF,Examination,Left Arm Percent Fat
DXDLATOT,Examination,Left Arm Total (grams)
DXDLLLE,Examination,Left Leg Lean excl Bone Mineral Content (grams)
DXDLLPF,Examination,Left Leg Percent Fat
DXDLLTOT,Examination,Left Leg Total (grams)
DXDRALE,Examination,Right Arm Lean excl Bone Mineral Content (grams)
DXDRAPF,Examination,Right Arm Percent Fat
DXDRATOT,Examination,Right Arm Total (grams)
DXDRLLE,Examination,Right Leg Lean excl Bone Mineral Content (grams)
DXDRLPF,Examination,Right Leg Percent Fat
DXDRLTOT,Examination,Right Leg Total (grams)
DXDSTA,Examination,Subtotal Area (cm^2)
DXDSTBMC,Examination,Subtotal Bone Mineral Content (grams)
DXDSTBMD,Examination,Subtotal Bone Mineral Density (grams/cm^2)
DXDSTFAT,Examination,Subtotal Fat (g)
DXDSTLE,Examination,Subtotal Lean excl BMC (g)
DXDSTLI,Examination,Subtotal Lean incl BMC (g)
DXDSTPF,Examination,Subtotal Percent Fat
DXDSTTOT,Examination,Subtotal (Total excl Head) (g)
DXDTOA,Examination,Total Area (cm^2)
DXDTOBMC,Examination,Total Bone Mineral Content (g)
DXDTOBMD,Examination,Total Bone Mineral Density (g/cm^2)
DXDTOFAT,Examination,Total Fat (g)
DXDTOLE,Examination,Total Lean excl BMC (g)
DXDTOLI,Examination,Total Lean incl BMC (g)
DXDTOPF,Examination,Total Percent Fat
DXDTOTOT,Examination,Total Lean+Fat(g)
DXDTRA,Examination,Trunk Bone area (cm^2)
DXDTRBMC,Examination,Trunk Bone Mineral Content (grams)
DXDTRBMD,Examination,Trunk Bone BMD (g/cm^2)
DXDTRLE,Examination,Trunk Lean excl Bone Mineral Content (grams)
DXDTRPF,Examination,Trunk Percent Fat
DXDTRTOT,Examination,Trunk Total (grams)
DXXHEA,Examination,Head Area (cm^2)
DXXHEBMC,Examination,Head Bone Mineral Content (grams)
DXXHEBMD,Examination,Head Bone Mineral Density (grams/cm^2)
DXXHEFAT,Examination,Head Fat (grams)
DXXHELI,Examination,Head Lean incl Bone Mineral Content (grams)
DXXLAA,Examination,Left Arm Area (cm^2)
DXXLABMC,Examination,Left Arm Body Mineral Content (grams)
DXXLABMD,Examination,Left Arm Body Mineral Density (grams/cm^2)
DXXLAFAT,Examination,Left Arm Fat (grams)
DXXLALI,Examination,Left Arm Lean incl BMC (grams)
DXXLLA,Examination,Left Leg Area(cm^2)
DXXLLBMC,Examination,Left Leg Bone Mineral Content (grams)
DXXLLBMD,Examination,Left Leg Bone Mineral Density (grams/cm^2)
DXXLLFAT,Examination,Left Leg Fat (grams)
DXXLLLI,Examination,Left Leg Lean incl Bone Mineral Content (grams)
DXXLRA,Examination,Left Ribs Area(cm^2)
DXXLRBMC,Examination,Left Ribs Bone Mineral Content (grams)
DXXLRBMD,Examination,Left Ribs Bone Mineral Density (grams/cm^2)
DXXLSA,Examination,Lumbar Spine Area (cm^2)
DXXLSBMC,Examination,Lumbar Spine Bone Mineral Content (grams)
DXXLSBMD,Examination,Lumbar Spine Bone Mineral Density (grams/cm^2)
DXXPEA,Examination,Pelvis Area (cm^2)
DXXPEBMC,Examination,Pelvis Bone Mineral Content (grams)
DXXPEBMD,Examination,Pelvis Bone Mineral Density (grams/cm^2)
DXXRAA,Examination,Right Arm Area (cm^2)
DXXRABMC,Examination,Right Arm Bone Mineral Content (grams)
DXXRABMD,Examination,Right Arm Bone Mineral Density (grams/cm^2)
DXXRAFAT,Examination,Right Arm Fat (grams)
DXXRALI,Examination,Right Arm Lean incl Bone Mineral Content (grams)
DXXRLA,Examination,Right Leg Area (cm^2)
DXXRLBMC,Examination,Right Leg Bone Mineral Content (grams)
DXXRLBMD,Examination,Right Leg Bone Mineral Density (grams/cm^2)
DXXRLFAT,Examination,Right Leg Fat (grams)
DXXRLLI,Examination,Right Leg Lean incl Bone Mineral Content (grams)
DXXRRA,Examination,Right Ribs Area (cm^2)
DXXRRBMC,Examination,Right Ribs Bone Mineral Content (grams)
DXXRRBMD,Examination,Right Ribs Bone Mineral Density (grams/cm^2)
DXXTRFAT,Examination,Trunk Fat (grams)
DXXTRLI,Examination,Trunk Lean incl Bone Mineral Content (grams)
DXXTSA,Examination,Thoracic Spine Area (cm^2)
DXXTSBMC,Examination,Thoracic Spine Bone Mineral Content (grams)
DXXTSBMD,Examination,Thoracic Spine Bone Mineral Density (grams/cm^2)
SEQN,Examination,Respondent sequence number
DXASPND0,Examination,Calculated DO for spine
DXASPNK,Examination,Calculated K for spine
DXASPNST,Examination,Spine scan status
DXXL1A,Examination,L1 area
DXXL1BCC,Examination,L1 BMD invalidity code
DXXL1BMC,Examination,L1 BMC
DXXL1BMD,Examination,L1 BMD
DXXL2A,Examination,L2 area
DXXL2BCC,Examination,L2 BMD invalidity code
DXXL2BMC,Examination,L2 BMC
DXXL2BMD,Examination,L2 BMD
DXXL3A,Examination,L3 area
DXXL3BCC,Examination,L3 BMD invalidity code
DXXL3BMC,Examination,L3 BMC
DXXL3BMD,Examination,L3 BMD
DXXL4A,Examination,L4 area
DXXL4BCC,Examination,L4 BMD invalidity code
DXXL4BMC,Examination,L4 BMC
DXXL4BMD,Examination,L4 BMD
DXXOSA,Examination,Total spine area
DXXOSBCC,Examination,Total spine BMD invalidity code
DXXOSBMC,Examination,Total spine BMC
DXXOSBMD,Examination,Total spine BMD
SEQN,Examination,Respondent sequence number.
LUANMTGP,Examination,Total number of measures attempted (using final wand).
LUANMVGP,Examination,Total number of complete measures retained (using final wand).
LUAPNME,Examination,Exam wand type.
LUARXIN,Examination,Reason ineligible.
LUARXNC,Examination,Reason for partial exam.
LUARXND,Examination,Reason exam not done.
LUATECH,Examination,Health technician code.
LUAXSTAT,Examination,Elastography exam status.
LUXCAPM,Examination,"Median controlled attenuated parameter (CAP) This indicator is presented as a whole number XXX, and the units for this measure are decibels per meter (dB/m)."
LUXCPIQR,Examination,Controlled attenuated parameter (CAP) interquartile range (IQRc) of final CAP measures. This indicator is presented as a whole number (e.g. XX).
LUXSIQR,Examination,"Stiffness (E) interquartile range (IQRe) of final stiffness measures. This indicator is presented with one digit to the right of the decimal, (e.g. XX.X)."
LUXSIQRM,Examination,"Ratio of the stiffness IQRe / median E stiffness value. This indicator is presented as a percent with one digit to the right of the decimal, (e.g.  XX.X %)."
LUXSMED,Examination,"Median liver stiffness (E) This indicator is presented with one digit to the right of the decimal ratio (e.g. XX.X), and the units for this measure are kilopascals (kPa)."
SEQN,Examination,Respondent sequence number.
DXXAGRAT,Examination,Android to gynoid ratio
DXXAGST,Examination,Android/gynoid region status
DXXANFM,Examination,Android fat mass
DXXANLM,Examination,Android lean mass
DXXANTOM,Examination,Android total mass
DXXANTV,Examination,Android region invalidity code
DXXAPFAT,Examination,Android percent fat
DXXGPFAT,Examination,Gynoid percent fat
DXXGYFM,Examination,Gynoid fat mass
DXXGYLM,Examination,Gynoid lean mass
DXXGYTOM,Examination,Gynoid total mass
DXXGYTV,Examination,Gynoid region invalidity code
DXXSATA,Examination,Subcutaneous fat area
DXXSATM,Examination,Subcutaneous fat mass
DXXSATV,Examination,Subcutaneous fat volume
DXXTATA,Examination,Total abdominal fat area
DXXTATM,Examination,Total abdominal fat mass
DXXTATV,Examination,Total abdominal fat volume
DXXVATV,Examination,VAT and SAT invalidity code
DXXVFATA,Examination,Visceral adipose tissue area
DXXVFATM,Examination,Visceral adipose tissue mass
DXXVFATV,Examination,Visceral adipose tissue volume
SEQN,Examination,Respondent sequence number.
BPAOARM,Examination,Arm selected - oscillometric
BPAOCSZ,Examination,Mid arm circumference (cm) cuffing parameters - oscillometric
BPAOMNTS,Examination,Difference in minutes between blood pressure obtained by a physician with a mercury sphygmomanometer (legacy) and blood pressure obtained by a health technician with an oscillometric device.
BPXODI1,Examination,Diastolic - 1st oscillometric reading
BPXODI2,Examination,Diastolic - 2nd oscillometric reading
BPXODI3,Examination,Diastolic - 3rd oscillometric reading
BPXOPLS1,Examination,Pulse - 1st oscillometric reading
BPXOPLS2,Examination,Pulse - 2nd oscillometric reading
BPXOPLS3,Examination,Pulse - 3rd oscillometric reading
BPXOSY1,Examination,Systolic - 1st oscillometric reading
BPXOSY2,Examination,Systolic - 2nd oscillometric reading
BPXOSY3,Examination,Systolic - 3rd oscillometric reading
SEQN,Examination,Respondent sequence number.
AUAEAR,Examination,Which ear tested first?
AUAEXCMT,Examination,Comment code for an Audio Exam
AUAEXSTS,Examination,Status of an Audiometry Exam
AUAFMANL,Examination,Frequency at Which Switched From Auto to Manual Audio Testing (Left)
AUAFMANR,Examination,Frequency at Which Switched From Auto to Manual Audio Testing (Right)
AUALEQC,Examination,Quality Code for Tympanogram  of Left Ear
AUAMODE,Examination,Mode of Audiometric Test (Manual/Automatic/Mixed)
AUAREQC,Examination,Quality Code for Tympanogram of Right Ear
AUATYMTL,Examination,"Tympanogram Type, Left Ear"
AUATYMTR,Examination,"Tympanogram Type, Right Ear"
AUDLOABC,Examination,"Other Exam Abnormality, Left, Comment"
AUDROABC,Examination,"Other Exam Abnormality, Right, Comment"
AUQ010,Examination,"Do you now have a tube in your right or left ear? (If yes, indicate affected ear(s))"
AUQ011,Examination,"Do you now have a tube in your right or left ear? (If yes, indicate affected ear(s))"
AUQ020,Examination,"Have you had a cold, sinus problem, or earache in the last 24 hours?"
AUQ020A,Examination,Have you had a cold in the last 24 hours?
AUQ020B,Examination,Have you had a sinus problem in the last 24 hours?
AUQ020C,Examination,Have you had an earache in the right ear in the last 24 hours?
AUQ020D,Examination,Have you had an earache in left ear in the last 24 hours?
AUQ020E,Examination,Have you had an earache in both ears in the last 24 hours?
AUQ031,Examination,"In the past 24 hours, have you been exposed to noise so loud that you would have had to raise your voice to speak to someone an arm's length away?"
AUQ041,Examination,How many hours ago did the noise end?
AUQ050,Examination,Do you hear better in one ear than the other?
AUQ051,Examination,Is it easier for you to hear out of one ear than the other?
AUQ520,Examination,"In the past 24 hours, have you listened to music with earphones?"
AUQ530,Examination,How many hours ago did you stop listening?
AUQ540,Examination,"Do you have a cold, runny nose, or earache today?"
AUQ550,Examination,"Did you have a cold, runny nose, or earache yesterday?"
AUQ550A,Examination,Have you had a cold today or yesterday?
AUQ550B,Examination,Have you had runny nose today or yesterday?
AUQ550C,Examination,Have you had an earache in right ear today or yesterday?
AUQ550D,Examination,Have you had an earache in left ear today or yesterday?
AUQ550E,Examination,Have you had an earache in both ears today or yesterday?
AUQ560,Examination,Have you listened to sounds today that were so loud you would have to shout so someone close by could hear you?
AUQ570,Examination,Did you listen to any sounds that were that loud yesterday?
AUQ580,Examination,When was that?
AUQ590,Examination,Have you listened to music with earphones today?
AUQ600,Examination,Did you listen to music with earphones yesterday?
AUQ610,Examination,When was that?
AUXLOABN,Examination,"Other Exam Abnormality, Left Ear"
AUXLOCOL,Examination,"Collapsing Ear Canal, Left Ear"
AUXLOEXC,Examination,"Excessive Cerumen, Left Ear"
AUXLOIMC,Examination,"Impacted Cerumen, Left Ear"
AUXOTSPL,Examination,Normal:  Left Ear Otoscopy
AUXR1K1L,Examination,Left retest threshold @ 1000Hz in decibels (Hearing Level)
AUXR1K1R,Examination,Right retest threshold @ 1000Hz in decibels (Hearing Level)
AUXR1K2L,Examination,"Left retest threshold @ 1000Hz, (second reading) in decibels (Hearing Level)"
AUXR1K2R,Examination,"Right retest threshold @ 1000Hz, (second reading) in decibels (Hearing Level)"
AUXR2KL,Examination,Left retest threshold @ 2000Hz in decibels (Hearing Level)
AUXR2KR,Examination,Right retest threshold @ 2000Hz in decibels (Hearing Level)
AUXR3KL,Examination,Left retest threshold @ 3000Hz in decibels (Hearing Level)
AUXR3KR,Examination,Right retest threshold @ 3000Hz in decibels (Hearing Level)
AUXR4KL,Examination,Left retest threshold @ 4000Hz in decibels (Hearing Level)
AUXR4KR,Examination,Right retest threshold @ 4000Hz in decibels (Hearing Level)
AUXR5CL,Examination,Left retest threshold @ 500Hz in decibels (Hearing Level)
AUXR5CR,Examination,Right retest threshold @ 500Hz in decibels (Hearing Level)
AUXR6KL,Examination,Left retest threshold @ 6000Hz in decibels (Hearing Level)
AUXR6KR,Examination,Right retest threshold @ 6000Hz in decibels (Hearing Level)
AUXR8KL,Examination,Left retest threshold @ 8000Hz in decibels (Hearing Level)
AUXR8KR,Examination,Right retest threshold @ 8000Hz in decibels (Hearing Level)
AUXROABN,Examination,"Other Exam Abnormality, Right Ear"
AUXROCOL,Examination,"Collapsing Ear Canal, Right Ear"
AUXROEXC,Examination,"Excessive Cerumen, Right Ear"
AUXROIMC,Examination,"Impacted Cerumen, Right Ear"
AUXROTSP,Examination,Normal:  Right Ear Otoscopy
AUXTCOML,Examination,"Compliance (tympanometry), left ear"
AUXTCOMR,Examination,"Compliance (tympanometry), right ear"
AUXTMEPL,Examination,"Middle ear pressure (tympanometry), left ear, in daPa (dekaPascals)"
AUXTMEPR,Examination,"Middle ear pressure (tympanometry), right ear, in daPa (dekaPascals)"
AUXTPVL,Examination,"Physical volume (tympanometry), left ear, in cc"
AUXTPVR,Examination,"Physical volume (tympanometry), right ear, in cc"
AUXTWIDL,Examination,"Tympanometric width, left ear"
AUXTWIDR,Examination,"Tympanometric width, right ear"
AUXU1K1L,Examination,Left threshold @ 1000Hz in decibels (Hearing Level)
AUXU1K1R,Examination,Right threshold @ 1000Hz in decibels (Hearing Level)
AUXU1K2L,Examination,Left threshold @ 1000Hz (second reading) in decibels (Hearing Level)
AUXU1K2R,Examination,Right threshold @ 1000Hz (second reading) in decibels (Hearing Level)
AUXU2KL,Examination,Left threshold @ 2000Hz in decibels (Hearing Level)
AUXU2KR,Examination,Right threshold @ 2000Hz in decibels (Hearing Level)
AUXU3KL,Examination,Left threshold @ 3000Hz in decibels (Hearing Level)
AUXU3KR,Examination,Right threshold @ 3000Hz in decibels (Hearing Levels)
AUXU4KL,Examination,Left threshold @ 4000Hz in decibels (Hearing Level)
AUXU4KR,Examination,Right threshold @ 4000Hz in decibels (Hearing Level)
AUXU500L,Examination,Left threshold @ 500Hz in decibels (Hearing Level)
AUXU500R,Examination,Right threshold @ 500Hz in decibels (Hearing Level)
AUXU6KL,Examination,Left threshold @ 6000Hz in decibels (Hearing Level)
AUXU6KR,Examination,Right threshold @ 6000Hz in decibels (Hearing Level)
AUXU8KL,Examination,Left threshold @ 8000Hz in decibels (Hearing Level)
AUXU8KR,Examination,Right threshold @ 8000Hz in decibels (Hearing Level)
SEQN,Examination,Respondent sequence number.
SEQN,Examination,Respondent sequence number.
TYXA001,Examination,Admittance Array Data Point 001
TYXA002,Examination,Admittance Array Data Point 002
TYXA003,Examination,Admittance Array Data Point 003
TYXA004,Examination,Admittance Array Data Point 004
TYXA005,Examination,Admittance Array Data Point 005
TYXA006,Examination,Admittance Array Data Point 006
TYXA007,Examination,Admittance Array Data Point 007
TYXA008,Examination,Admittance Array Data Point 008
TYXA009,Examination,Admittance Array Data Point 009
TYXA010,Examination,Admittance Array Data Point 010
TYXA011,Examination,Admittance Array Data Point 011
TYXA012,Examination,Admittance Array Data Point 012
TYXA013,Examination,Admittance Array Data Point 013
TYXA014,Examination,Admittance Array Data Point 014
TYXA015,Examination,Admittance Array Data Point 015
TYXA016,Examination,Admittance Array Data Point 016
TYXA017,Examination,Admittance Array Data Point 017
TYXA018,Examination,Admittance Array Data Point 018
TYXA019,Examination,Admittance Array Data Point 019
TYXA020,Examination,Admittance Array Data Point 020
TYXA021,Examination,Admittance Array Data Point 021
TYXA022,Examination,Admittance Array Data Point 022
TYXA023,Examination,Admittance Array Data Point 023
TYXA024,Examination,Admittance Array Data Point 024
TYXA025,Examination,Admittance Array Data Point 025
TYXA026,Examination,Admittance Array Data Point 026
TYXA027,Examination,Admittance Array Data Point 027
TYXA028,Examination,Admittance Array Data Point 028
TYXA029,Examination,Admittance Array Data Point 029
TYXA030,Examination,Admittance Array Data Point 030
TYXA031,Examination,Admittance Array Data Point 031
TYXA032,Examination,Admittance Array Data Point 032
TYXA033,Examination,Admittance Array Data Point 033
TYXA034,Examination,Admittance Array Data Point 034
TYXA035,Examination,Admittance Array Data Point 035
TYXA036,Examination,Admittance Array Data Point 036
TYXA037,Examination,Admittance Array Data Point 037
TYXA038,Examination,Admittance Array Data Point 038
TYXA039,Examination,Admittance Array Data Point 039
TYXA040,Examination,Admittance Array Data Point 040
TYXA041,Examination,Admittance Array Data Point 041
TYXA042,Examination,Admittance Array Data Point 042
TYXA043,Examination,Admittance Array Data Point 043
TYXA044,Examination,Admittance Array Data Point 044
TYXA045,Examination,Admittance Array Data Point 045
TYXA046,Examination,Admittance Array Data Point 046
TYXA047,Examination,Admittance Array Data Point 047
TYXA048,Examination,Admittance Array Data Point 048
TYXA049,Examination,Admittance Array Data Point 049
TYXA050,Examination,Admittance Array Data Point 050
TYXA051,Examination,Admittance Array Data Point 051
TYXA052,Examination,Admittance Array Data Point 052
TYXA053,Examination,Admittance Array Data Point 053
TYXA054,Examination,Admittance Array Data Point 054
TYXA055,Examination,Admittance Array Data Point 055
TYXA056,Examination,Admittance Array Data Point 056
TYXA057,Examination,Admittance Array Data Point 057
TYXA058,Examination,Admittance Array Data Point 058
TYXA059,Examination,Admittance Array Data Point 059
TYXA060,Examination,Admittance Array Data Point 060
TYXA061,Examination,Admittance Array Data Point 061
TYXA062,Examination,Admittance Array Data Point 062
TYXA063,Examination,Admittance Array Data Point 063
TYXA064,Examination,Admittance Array Data Point 064
TYXA065,Examination,Admittance Array Data Point 065
TYXA066,Examination,Admittance Array Data Point 066
TYXA067,Examination,Admittance Array Data Point 067
TYXA068,Examination,Admittance Array Data Point 068
TYXA069,Examination,Admittance Array Data Point 069
TYXA070,Examination,Admittance Array Data Point 070
TYXA071,Examination,Admittance Array Data Point 071
