Variable,Encoding
OHX04CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX05CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX06CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX07CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX08CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX09CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX10CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX11CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX12CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX13CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX14CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX15CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX18CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX19CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX20CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX21CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX22CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX23CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX24CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX25CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX26CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX27CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX28CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX29CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX30CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX31CSC,"{0: 'Lingual AMALGAM restoration', 1: 'Occlusal AMALGAM restoration', 2: 'Facial AMALGAM restoration', 3: 'Mesial AMALGAM restoration', 4: 'Distal AMALGAM restoration', 5: 'Lingual OTHER restoration', 6: 'Occlusal OTHER restoration', 7: 'Facial OTHER restoration', 8: 'Mesial OTHER restoration', 9: 'Distal OTHER restoration'}"
OHX02RTC,{}
OHX03RTC,{}
OHX04RTC,{}
OHX05RTC,{}
OHX06RTC,{}
OHX07RTC,{}
OHX08RTC,{}
OHX09RTC,{}
OHX10RTC,{}
OHX11RTC,{}
OHX12RTC,{}
OHX13RTC,{}
OHX14RTC,{}
OHX15RTC,{}
OHX18RTC,{}
OHX19RTC,{}
OHX20RTC,{}
OHX21RTC,{}
OHX22RTC,{}
OHX23RTC,{}
OHX24RTC,{}
OHX25RTC,{}
OHX26RTC,{}
OHX27RTC,{}
OHX28RTC,{}
OHX29RTC,{}
OHX30RTC,{}
OHX31RTC,{}
OHX02RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX03RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX04RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX05RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX06RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX07RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX08RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX09RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX10RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX11RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX12RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX13RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX14RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX15RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX18RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX19RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX20RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX21RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX22RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX23RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX24RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX25RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX26RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX27RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX28RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX29RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX30RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHX31RSC,"{0: 'lingual AMALGAM restoration', 1: 'occlusal AMALGAM restoration', 2: 'facial AMALGAM restoration', 3: 'mesial AMALGAM restoration', 4: 'distal AMALGAM restoration', 5: 'lingual OTHER restoration', 6: 'occlusal OTHER restoration', 7: 'facial OTHER restoration', 8: 'mesial OTHER restoration', 9: 'distal OTHER restoration'}"
OHXRCAR,"{1: 'Yes', 2: 'No', 9: 'Cannot be accessed', '.': 'Missing'}"
OHXRCARO,"{1: 'Root caries detected', 2: 'Root caries not detected', 9: 'Cannot be accessed', '.': 'Missing'}"
OHXRRES,"{1: 'Root restoration detected', 2: 'Root restoration not detected', 9: 'Cannot be accessed', '.': 'Missing'}"
OHXRRESO,"{1: 'Root restoration detected', 2: 'Root restoration not detected', 9: 'Cannot be accessed', '.': 'Missing'}"
OHX02SE,"{0: 'Sealant not present', 1: 'Occlusal sealant on permanent tooth', 2: 'Facial sealant on permanent tooth', 3: 'Lingual sealant on permanent tooth', 4: 'Occlusal sealant on primary tooth', 9: 'Cannot be assessed', 12: 'Occlusal-facial sealant on permanent tooth', 13: 'Occlusal-lingual sealant on permanent tooth'}"
OHX03SE,"{0: 'Sealant not present', 1: 'Occlusal sealant on permanent tooth', 2: 'Facial sealant on permanent tooth', 3: 'Lingual sealant on permanent tooth', 4: 'Occlusal sealant on primary tooth', 9: 'Cannot be assessed', 12: 'Occlusal-facial sealant on permanent tooth', 13: 'Occlusal-lingual sealant on permanent tooth'}"
OHX04SE,"{0: 'Sealant not present', 1: 'Occlusal sealant on permanent tooth', 2: 'Facial sealant on permanent tooth', 3: 'Lingual sealant on permanent tooth', 4: 'Occlusal sealant on primary tooth', 9: 'Cannot be assessed', 12: 'Occlusal-facial sealant on permanent tooth', 13: 'Occlusal-lingual sealant on permanent tooth'}"
OHX05SE,"{0: 'Sealant not present', 1: 'Occlusal sealant on permanent tooth', 2: 'Facial sealant on permanent tooth', 3: 'Lingual sealant on permanent tooth', 4: 'Occlusal sealant on primary tooth', 9: 'Cannot be assessed', 12: 'Occlusal-facial sealant on permanent tooth', 13: 'Occlusal-lingual sealant on permanent tooth'}"
OHX07SE,"{0: 'Sealant not present', 1: 'Occlusal sealant on permanent tooth', 2: 'Facial sealant on permanent tooth', 3: 'Lingual sealant on permanent tooth', 4: 'Occlusal sealant on primary tooth', 9: 'Cannot be assessed', 12: 'Occlusal-facial sealant on permanent tooth', 13: 'Occlusal-lingual sealant on permanent tooth'}"
OHX10SE,"{0: 'Sealant not present', 1: 'Occlusal sealant on permanent tooth', 2: 'Facial sealant on permanent tooth', 3: 'Lingual sealant on permanent tooth', 4: 'Occlusal sealant on primary tooth', 9: 'Cannot be assessed', 12: 'Occlusal-facial sealant on permanent tooth', 13: 'Occlusal-lingual sealant on permanent tooth'}"
OHX12SE,"{0: 'Sealant not present', 1: 'Occlusal sealant on permanent tooth', 2: 'Facial sealant on permanent tooth', 3: 'Lingual sealant on permanent tooth', 4: 'Occlusal sealant on primary tooth', 9: 'Cannot be assessed', 12: 'Occlusal-facial sealant on permanent tooth', 13: 'Occlusal-lingual sealant on permanent tooth'}"
OHX13SE,"{0: 'Sealant not present', 1: 'Occlusal sealant on permanent tooth', 2: 'Facial sealant on permanent tooth', 3: 'Lingual sealant on permanent tooth', 4: 'Occlusal sealant on primary tooth', 9: 'Cannot be assessed', 12: 'Occlusal-facial sealant on permanent tooth', 13: 'Occlusal-lingual sealant on permanent tooth'}"
OHX14SE,"{0: 'Sealant not present', 1: 'Occlusal sealant on permanent tooth', 2: 'Facial sealant on permanent tooth', 3: 'Lingual sealant on permanent tooth', 4: 'Occlusal sealant on primary tooth', 9: 'Cannot be assessed', 12: 'Occlusal-facial sealant on permanent tooth', 13: 'Occlusal-lingual sealant on permanent tooth'}"
OHX15SE,"{0: 'Sealant not present', 1: 'Occlusal sealant on permanent tooth', 2: 'Facial sealant on permanent tooth', 3: 'Lingual sealant on permanent tooth', 4: 'Occlusal sealant on primary tooth', 9: 'Cannot be assessed', 12: 'Occlusal-facial sealant on permanent tooth', 13: 'Occlusal-lingual sealant on permanent tooth'}"
OHX18SE,"{0: 'Sealant not present', 1: 'Occlusal sealant on permanent tooth', 2: 'Facial sealant on permanent tooth', 3: 'Lingual sealant on permanent tooth', 4: 'Occlusal sealant on primary tooth', 9: 'Cannot be assessed', 12: 'Occlusal-facial sealant on permanent tooth', 13: 'Occlusal-lingual sealant on permanent tooth'}"
OHX19SE,"{0: 'Sealant not present', 1: 'Occlusal sealant on permanent tooth', 2: 'Facial sealant on permanent tooth', 3: 'Lingual sealant on permanent tooth', 4: 'Occlusal sealant on primary tooth', 9: 'Cannot be assessed', 12: 'Occlusal-facial sealant on permanent tooth', 13: 'Occlusal-lingual sealant on permanent tooth'}"
OHX20SE,"{0: 'Sealant not present', 1: 'Occlusal sealant on permanent tooth', 2: 'Facial sealant on permanent tooth', 3: 'Lingual sealant on permanent tooth', 4: 'Occlusal sealant on primary tooth', 9: 'Cannot be assessed', 12: 'Occlusal-facial sealant on permanent tooth', 13: 'Occlusal-lingual sealant on permanent tooth'}"
OHX21SE,"{0: 'Sealant not present', 1: 'Occlusal sealant on permanent tooth', 2: 'Facial sealant on permanent tooth', 3: 'Lingual sealant on permanent tooth', 4: 'Occlusal sealant on primary tooth', 9: 'Cannot be assessed', 12: 'Occlusal-facial sealant on permanent tooth', 13: 'Occlusal-lingual sealant on permanent tooth'}"
OHX28SE,"{0: 'Sealant not present', 1: 'Occlusal sealant on permanent tooth', 2: 'Facial sealant on permanent tooth', 3: 'Lingual sealant on permanent tooth', 4: 'Occlusal sealant on primary tooth', 9: 'Cannot be assessed', 12: 'Occlusal-facial sealant on permanent tooth', 13: 'Occlusal-lingual sealant on permanent tooth'}"
OHX29SE,"{0: 'Sealant not present', 1: 'Occlusal sealant on permanent tooth', 2: 'Facial sealant on permanent tooth', 3: 'Lingual sealant on permanent tooth', 4: 'Occlusal sealant on primary tooth', 9: 'Cannot be assessed', 12: 'Occlusal-facial sealant on permanent tooth', 13: 'Occlusal-lingual sealant on permanent tooth'}"
OHX30SE,"{0: 'Sealant not present', 1: 'Occlusal sealant on permanent tooth', 2: 'Facial sealant on permanent tooth', 3: 'Lingual sealant on permanent tooth', 4: 'Occlusal sealant on primary tooth', 9: 'Cannot be assessed', 12: 'Occlusal-facial sealant on permanent tooth', 13: 'Occlusal-lingual sealant on permanent tooth'}"
OHX31SE,"{0: 'Sealant not present', 1: 'Occlusal sealant on permanent tooth', 2: 'Facial sealant on permanent tooth', 3: 'Lingual sealant on permanent tooth', 4: 'Occlusal sealant on primary tooth', 9: 'Cannot be assessed', 12: 'Occlusal-facial sealant on permanent tooth', 13: 'Occlusal-lingual sealant on permanent tooth'}"
OHDRCSTS,"{1: 'Complete', 2: 'Partial', 3: 'Not Done', '.': 'Missing'}"
OHAREC,"{1: 'See a dentist immediately', 2: 'See a dentist within the next 2 weeks', 3: 'See a dentist at your earliest convenience', 4: 'Continue your regular routine care', '.': 'Missing'}"
OHAROCDT,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
OHAROCGP,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
OHAROCOH,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
OHAROCCI,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
OHAROCDE,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
OHARNF,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
OHAROTH,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
OHAPOS,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
URXUMA,{'.': 'Missing'}
URXUMS,{'.': 'Missing'}
