Variable,DataType,Label,Plain Description,Target
OHX26TC,examination,Tooth Count:  #26,Tooth Count:  Lower right lateral incisor (LI),Both males and females 1 YEARS -150 YEARS
OHX27TC,examination,Tooth Count:  #27,Tooth Count:  Lower right cuspid (C),Both males and females 1 YEARS -150 YEARS
OHX28TC,examination,Tooth Count:  #28,Tooth Count:  Lower right 1st bicuspid/1st primary molar (1B),Both males and females 1 YEARS -150 YEARS
OHX29TC,examination,Tooth Count:  #29,Tooth Count:  Lower right 2nd bicuspid/2nd primary molar (2B),Both males and females 1 YEARS -150 YEARS
OHX30TC,examination,Tooth Count:  #30,Tooth Count:  Lower right 1st molar (1M),Both males and females 1 YEARS -150 YEARS
OHX31TC,examination,Tooth Count:  #31,Tooth Count:  Lower right 2nd molar (2M),Both males and females 1 YEARS -150 YEARS
OHX32TC,examination,Tooth Count:  #32,Tooth Count:  Lower right 3rd molar (3M),Both males and females 1 YEARS -150 YEARS
OHX02CTC,examination,Coronal Caries: Tooth Count #2,Coronal Caries:  Upper right 2nd molar (2M) tooth code,Both males and females 1 YEARS -150 YEARS
OHX03CTC,examination,Coronal Caries: Tooth Count #3,Coronal Caries:  Upper right 1st molar (1M) tooth code,Both males and females 1 YEARS -150 YEARS
OHX04CTC,examination,Coronal Caries: Tooth Count #4,Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) tooth code,Both males and females 1 YEARS -150 YEARS
OHX05CTC,examination,Coronal Caries: Tooth Count #5,Coronal Caries:  Upper right 1st bicuspid/1st primary molar (1B) tooth code,Both males and females 1 YEARS -150 YEARS
OHX06CTC,examination,Coronal Caries: Tooth Count #6,Coronal Caries:  Upper right cuspid (C) tooth code,Both males and females 1 YEARS -150 YEARS
OHX07CTC,examination,Coronal Caries: Tooth Count #7,Coronal Caries:  Upper right lateral incisor (LI) tooth code,Both males and females 1 YEARS -150 YEARS
OHX08CTC,examination,Coronal Caries: Tooth Count #8,Coronal Caries:  Upper right central incisor (CI) tooth code,Both males and females 1 YEARS -150 YEARS
OHX09CTC,examination,Coronal Caries: Tooth Count #9,Coronal Caries:  Upper left central incisor (CI) tooth code,Both males and females 1 YEARS -150 YEARS
OHX10CTC,examination,Coronal Caries: Tooth Count #10,Coronal Caries:  Upper left lateral incisor (LI) tooth code,Both males and females 1 YEARS -150 YEARS
OHX11CTC,examination,Coronal Caries: Tooth Count #11,Coronal Caries:  Upper left cuspid (C) tooth code,Both males and females 1 YEARS -150 YEARS
OHX12CTC,examination,Coronal Caries: Tooth Count #12,Coronal Caries:  Upper left 1st bicuspid/1st primary molar (1B) tooth code,Both males and females 1 YEARS -150 YEARS
OHX13CTC,examination,Coronal Caries: Tooth Count #13,Coronal Caries: Upper left 2nd bicuspid/2nd primary molar (2B) tooth code,Both males and females 1 YEARS -150 YEARS
OHX14CTC,examination,Coronal Caries: Tooth Count #14,Coronal Caries:  Upper left 1st molar (1M) tooth code,Both males and females 1 YEARS -150 YEARS
OHX15CTC,examination,Coronal Caries: Tooth Count #15,Coronal Caries: Upper left 2nd molar (2M) tooth code,Both males and females 1 YEARS -150 YEARS
OHX18CTC,examination,Coronal Caries: Tooth Count #18,Coronal Caries:  Lower left 2nd molar (2M) tooth code,Both males and females 1 YEARS -150 YEARS
OHX19CTC,examination,Coronal Caries: Tooth Count #19,Coronal Caries:  Lower left 1st molar (1M) tooth code,Both males and females 1 YEARS -150 YEARS
OHX20CTC,examination,Coronal Caries: Tooth Count #20,Coronal Caries:  Lower left 2nd bicuspid/2nd primary molar (2B) tooth code,Both males and females 1 YEARS -150 YEARS
OHX21CTC,examination,Coronal Caries: Tooth Count #21,Coronal Caries:  Lower left 1st bicuspid/1st primary molar (1B) tooth code,Both males and females 1 YEARS -150 YEARS
OHX22CTC,examination,Coronal Caries: Tooth Count #22,Coronal Caries:  Lower left cuspid (C) tooth code,Both males and females 1 YEARS -150 YEARS
OHX23CTC,examination,Coronal Caries: Tooth Count #23,Coronal Caries:  Lower left lateral incisor (LI) tooth code,Both males and females 1 YEARS -150 YEARS
OHX24CTC,examination,Coronal Caries: Tooth Count #24,Coronal Caries:  Lower left central incisor (CI) tooth code,Both males and females 1 YEARS -150 YEARS
OHX25CTC,examination,Coronal Caries: Tooth Count #25,Coronal Caries:  Lower right central incisor (CI) tooth code,Both males and females 1 YEARS -150 YEARS
OHX26CTC,examination,Coronal Caries: Tooth Count #26,Coronal Caries:  Lower right lateral incisor (LI) tooth code,Both males and females 1 YEARS -150 YEARS
OHX27CTC,examination,Coronal Caries: Tooth Count #27,Coronal Caries:  Lower right cuspid (C) tooth code,Both males and females 1 YEARS -150 YEARS
OHX28CTC,examination,Coronal Caries: Tooth Count #28,Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) tooth code,Both males and females 1 YEARS -150 YEARS
OHX29CTC,examination,Coronal Caries: Tooth Count #29,Coronal Caries:  Lower right 2nd bicuspid/2nd primary molar (2B) tooth code,Both males and females 1 YEARS -150 YEARS
OHX30CTC,examination,Coronal Caries: Tooth Count #30,Coronal Caries:  Lower right 1st molar (1M) tooth code,Both males and females 1 YEARS -150 YEARS
OHX31CTC,examination,Coronal Caries: Tooth Count #31,Coronal Caries:  Lower right 2nd molar (2M) tooth code,Both males and females 1 YEARS -150 YEARS
OHX02CSC,examination,Coronal Caries:  Surface condition #2,"Coronal Caries:  Upper right 2nd molar (2M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX03CSC,examination,Coronal Caries:  Surface condition #3,"Coronal Caries:  Upper right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX04CSC,examination,Coronal Caries:  Surface condition #4,"Coronal Caries:  Upper right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX05CSC,examination,Coronal Caries:  Surface condition #5,"Coronal Caries:  Upper right 1st biscuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX06CSC,examination,Coronal Caries:  Surface condition #6,"Coronal Caries:  Upper right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX07CSC,examination,Coronal Caries:  Surface condition #7,"Coronal Caries:  Upper right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX08CSC,examination,Coronal Caries:  Surface condition #8,"Coronal Caries:  Upper right central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX09CSC,examination,Coronal Caries:  Surface condition #9,"Coronal Caries:  Upper left central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX10CSC,examination,Coronal Caries:  Surface condition #10,"Coronal Caries:  Upper left lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX11CSC,examination,Coronal Caries:  Surface condition #11,"Coronal Caries:  Upper left cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX12CSC,examination,Coronal Caries:  Surface condition #12,"Coronal Caries:  Upper left 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX13CSC,examination,Coronal Caries:  Surface condition #13,"Coronal Caries:  Upper left 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX14CSC,examination,Coronal Caries:  Surface condition #14,"Coronal Caries:  Upper left 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX15CSC,examination,Coronal Caries:  Surface condition #15,"Coronal Caries:  Upper left 2nd molar (2M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX18CSC,examination,Coronal Caries:  Surface condition #18,"Coronal Caries:  Lower left 2nd molar (2M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX19CSC,examination,Coronal Caries:  Surface condition #19,"Coronal Caries:  Lower left 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX20CSC,examination,Coronal Caries:  Surface condition #20,"Coronal Caries:  Lower left 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX21CSC,examination,Coronal Caries:  Surface condition #21,"Coronal Caries:  Lower left 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX22CSC,examination,Coronal Caries:  Surface condition #22,"Coronal Caries:  Lower left cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX23CSC,examination,Coronal Caries:  Surface condition #23,"Coronal Caries:  Lower left lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX24CSC,examination,Coronal Caries:  Surface condition #24,"Coronal Caries:  Lower left central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX25CSC,examination,Coronal Caries:  Surface condition #25,"Coronal Caries:  Lower right central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX26CSC,examination,Coronal Caries:  Surface condition #26,"Coronal Caries:  Lower right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX27CSC,examination,Coronal Caries:  Surface condition #27,"Coronal Caries:  Lower right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX28CSC,examination,Coronal Caries:  Surface condition #28,"Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX29CSC,examination,Coronal Caries:  Surface condition #29,"Coronal Caries:  Lower right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX30CSC,examination,Coronal Caries:  Surface condition #30,"Coronal Caries:  Lower right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX31CSC,examination,Coronal Caries:  Surface condition #31,"Coronal Caries:  Lower right 2nd molar (2M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX02RTC,examination,Coronal Caries: Second restoration #2,Coronal Caries: Second restoration present - Upper right 2nd molar (2M),Both males and females 1 YEARS -150 YEARS
OHX03RTC,examination,Coronal Caries: Second restoration #3,Coronal Caries: Second restoration present - Upper right 1st molar (1M),Both males and females 1 YEARS -150 YEARS
OHX04RTC,examination,Coronal Caries: Second restoration #4,Coronal Caries: Second restoration present - Upper right 2nd bicuspid/2nd primary molar (2B),Both males and females 1 YEARS -150 YEARS
OHX05RTC,examination,Coronal Caries: Second restoration #5,Coronal Caries: Second restoration present - Upper right 1st bicuspid/1st primary molar (1B),Both males and females 1 YEARS -150 YEARS
OHX06RTC,examination,Coronal Caries: Second restoration #6,Coronal Caries: Second restoration present - Upper right cuspid (C),Both males and females 1 YEARS -150 YEARS
OHX07RTC,examination,Coronal Caries: Second restoration #7,Coronal Caries: Second restoration present - Upper right lateral incisor (LI),Both males and females 1 YEARS -150 YEARS
OHX08RTC,examination,Coronal Caries: Second restoration #8,Coronal Caries: Second restoration present - Upper right central incisor (CI),Both males and females 1 YEARS -150 YEARS
OHX09RTC,examination,Coronal Caries: Second restoration #9,Coronal Caries: Second restoration present - Upper left central incisor (CI),Both males and females 1 YEARS -150 YEARS
OHX10RTC,examination,Coronal Caries: Second restoration #10,Coronal Caries: Second restoration present - Upper left lateral incisor (LI),Both males and females 1 YEARS -150 YEARS
OHX11RTC,examination,Coronal Caries: Second restoration #11,Coronal Caries: Second restoration present - Upper left cuspid (C),Both males and females 1 YEARS -150 YEARS
OHX12RTC,examination,Coronal Caries: Second restoration #12,Coronal Caries: Second restoration present - Upper left 1st bicuspid/1st primary molar (1B),Both males and females 1 YEARS -150 YEARS
OHX13RTC,examination,Coronal Caries: Second restoration #13,Coronal Caries: Second restoration present - Upper left 2nd bicuspid/1st primary molar (2B),Both males and females 1 YEARS -150 YEARS
OHX14RTC,examination,Coronal Caries: Second restoration #14,Coronal Caries: Second restoration present - Upper left 1st molar (1M),Both males and females 1 YEARS -150 YEARS
OHX15RTC,examination,Coronal Caries: Second restoration #15,Coronal Caries: Second restoration present - Upper left 2nd molar (2M),Both males and females 1 YEARS -150 YEARS
OHX18RTC,examination,Coronal Caries: Second restoration #18,Coronal Caries: Second restoration present - Lower left 2nd molar (2M),Both males and females 1 YEARS -150 YEARS
OHX19RTC,examination,Coronal Caries: Second restoration #19,Coronal Caries: Second restoration present - Lower left 1st molar (1M),Both males and females 1 YEARS -150 YEARS
OHX20RTC,examination,Coronal Caries: Second restoration #20,Coronal Caries: Second restoration present - Lower left 2nd bicuspid/2nd primary molar (2B),Both males and females 1 YEARS -150 YEARS
OHX21RTC,examination,Coronal Caries: Second restoration #21,Coronal Caries: Second restoration present - Lower left 1st bicuspid/2nd primary molar (1B),Both males and females 1 YEARS -150 YEARS
OHX22RTC,examination,Coronal Caries: Second restoration #22,Coronal Caries: Second restoration present - Lower left cuspid (C),Both males and females 1 YEARS -150 YEARS
OHX23RTC,examination,Coronal Caries: Second restoration #23,Coronal Caries: Second restoration present - Lower left lateral incisor (LI),Both males and females 1 YEARS -150 YEARS
OHX24RTC,examination,Coronal Caries: Second restoration #24,Coronal Caries: Second restoration present - Lower left central incisor (CI),Both males and females 1 YEARS -150 YEARS
OHX25RTC,examination,Coronal Caries: Second restoration #25,Coronal Caries: Second restoration present - Lower right central incisor (CI),Both males and females 1 YEARS -150 YEARS
OHX26RTC,examination,Coronal Caries: Second restoration #26,Coronal Caries: Second restoration present - Lower right lateral incisor (LI),Both males and females 1 YEARS -150 YEARS
OHX27RTC,examination,Coronal Caries: Second restoration #27,Coronal Caries: Second restoration present - Lower right cuspid (C),Both males and females 1 YEARS -150 YEARS
OHX28RTC,examination,Coronal Caries: Second restoration #28,Coronal Caries: Second restoration present - Lower right1st bicuspid/2nd primary molar (1B),Both males and females 1 YEARS -150 YEARS
OHX29RTC,examination,Coronal Caries: Second restoration #29,Coronal Caries: Second restoration present - Lower right 2nd bicuspid/2nd primary molar (2B),Both males and females 1 YEARS -150 YEARS
OHX30RTC,examination,Coronal Caries: Second restoration #30,Coronal Caries: Second restoration present - Lower right 1st molar (1M),Both males and females 1 YEARS -150 YEARS
OHX31RTC,examination,Coronal Caries: Second restoration #31,Coronal Caries: Second restoration present - Lower right 2nd molar (2M),Both males and females 1 YEARS -150 YEARS
OHX02RSC,examination,Coronal Caries: 2nd restoration code #2,"Coronal Caries: Secondary restoration surface call - Upper right 2nd molar (2M). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX03RSC,examination,Coronal Caries: 2nd restoration code #3,"Coronal Caries: Secondary restoration surface call - Upper right 1st molar (1M). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX04RSC,examination,Coronal Caries: 2nd restoration code #4,"Coronal Caries: Secondary restoration surface call - Upper right 2nd bicuspid/2nd primary molar (2B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX05RSC,examination,Coronal Caries: 2nd restoration code #5,"Coronal Caries: Secondary restoration surface call - Upper right 1st bicuspid/1st primary molar (1B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX06RSC,examination,Coronal Caries: 2nd restoration code #6,"Coronal Caries: Secondary restoration surface call - Upper right cuspid (C). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX07RSC,examination,Coronal Caries: 2nd restoration code #7,"Coronal Caries: Secondary restoration surface call - Upper right lateral incisor (LI). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX08RSC,examination,Coronal Caries: 2nd restoration code #8,"Coronal Caries: Secondary restoration surface call - Upper right central incisor (CI). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX09RSC,examination,Coronal Caries: 2nd restoration code #9,"Coronal Caries: Secondary restoration surface call - Upper left central incisor (CI). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX10RSC,examination,Coronal Caries: 2nd restoration code #10,"Coronal Caries: Secondary restoration surface call - Upper left lateral incisor (LI). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX11RSC,examination,Coronal Caries: 2nd restoration code #11,"Coronal Caries: Secondary restoration surface call - Upper left cuspid (C). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX12RSC,examination,Coronal Caries: 2nd restoration code #12,"Coronal Caries: Secondary restoration surface call - Upper left 1st bicuspid/1st primary molar (1B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX13RSC,examination,Coronal Caries: 2nd restoration code #13,"Coronal Caries: Secondary restoration surface call - Upper left 2nd bicuspid/1st primary molar (2B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX14RSC,examination,Coronal Caries: 2nd restoration code #14,"Coronal Caries: Secondary restoration surface call - Upper left 1st molar (1M). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX15RSC,examination,Coronal Caries: 2nd restoration code #15,"Coronal Caries: Secondary restoration surface call - Upper left 2nd molar (2M). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX18RSC,examination,Coronal Caries: 2nd restoration code #18,"Coronal Caries: Secondary restoration surface call - Lower left 2nd molar (2M). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX19RSC,examination,Coronal Caries: 2nd restoration code #19,"Coronal Caries: Secondary restoration surface call - Lower left 1st molar (1M). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX20RSC,examination,Coronal Caries: 2nd restoration code #20,"Coronal Caries: Secondary restoration surface call - Lower left 2nd bicuspid/2nd primary molar (2B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX21RSC,examination,Coronal Caries: 2nd restoration code #21,"Coronal Caries: Secondary restoration surface call - Lower left 1st bicuspid/2nd primary molar (1B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX22RSC,examination,Coronal Caries: 2nd restoration code #22,"Coronal Caries: Secondary restoration surface call - Lower left cuspid (C). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX23RSC,examination,Coronal Caries: 2nd restoration code #23,"Coronal Caries: Secondary restoration surface call - Lower left lateral incisor (LI). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX24RSC,examination,Coronal Caries: 2nd restoration code #24,"Coronal Caries: Secondary restoration surface call - Lower left central incisor (CI). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX25RSC,examination,Coronal Caries: 2nd restoration code #25,"Coronal Caries: Secondary restoration surface call - Lower right central incisor (CI). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX26RSC,examination,Coronal Caries: 2nd restoration code #26,"Coronal Caries: Secondary restoration surface call - Lower right lateral incisor (LI). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX27RSC,examination,Coronal Caries: 2nd restoration code #27,"Coronal Caries: Secondary restoration surface call - Lower right cuspid (C). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX28RSC,examination,Coronal Caries: 2nd restoration code #28,"Coronal Caries: Secondary restoration surface call - Lower right 1st bicuspid/2nd primary molar (1B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX29RSC,examination,Coronal Caries: 2nd restoration code #29,"Coronal Caries: Secondary restoration surface call - Lower right 2nd bicuspid/2nd primary molar (2B). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX30RSC,examination,Coronal Caries: 2nd restoration code #30,"Coronal Caries: Secondary restoration surface call - Lower right 1st molar (1M). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHX31RSC,examination,Coronal Caries: 2nd restoration code #31,"Coronal Caries: Secondary restoration surface call - Lower right 2nd molar (2M). These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",Both males and females 1 YEARS -150 YEARS
OHXRCAR,examination,Root caries,Root Caries: Whole mouth,Both males and females 18 YEARS -150 YEARS
OHXRCARO,examination,Other non-carious root lesion,Other non-carious root lesions (erosions/abrasions): Whole mouth,Both males and females 18 YEARS -150 YEARS
OHXRRES,examination,Root caries restoration,Root restorations for caries: Whole mouth,Both males and females 18 YEARS -150 YEARS
OHXRRESO,examination,Other non-carious root restoration,Root restoration for reasons other than caries: Whole mouth,Both males and females 18 YEARS -150 YEARS
OHX02SE,examination,Dental Sealants:  #2,"Dental Sealants:  Upper right 2nd molar (2M) sealant codes.These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",Both males and females 3 YEARS -19 YEARS
OHX03SE,examination,Dental Sealants:  #3,"Dental Sealants:  Upper right 1st molar (1M) sealant codes.These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",Both males and females 3 YEARS -19 YEARS
OHX04SE,examination,Dental Sealants:  #4,"Dental Sealants:  Upper right 2nd biscuspid/2nd primary molar (2B) sealant codes.These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",Both males and females 3 YEARS -19 YEARS
OHX05SE,examination,Dental Sealants:  #5,"Dental Sealants:  Upper right 1st biscuspid/1st primary molar (1B) sealant codes.These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",Both males and females 3 YEARS -19 YEARS
OHX07SE,examination,Dental Sealants:  #7,"Dental Sealants:  Upper right lateral incisor (LI) sealant codes.These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",Both males and females 3 YEARS -19 YEARS
OHX10SE,examination,Dental Sealants:  #10,"Dental Sealants:  Upper left lateral incisor (LI) sealant codes.These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",Both males and females 3 YEARS -19 YEARS
OHX12SE,examination,Dental Sealants:  #12,"Dental Sealants:  Upper left 1st biscuspid/1st primary molar (1B) sealant codes.These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",Both males and females 3 YEARS -19 YEARS
OHX13SE,examination,Dental Sealants:  #13,"Dental Sealants:  Upper left 2nd bicuspid/2nd primary molar (2B) sealant codes.These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",Both males and females 3 YEARS -19 YEARS
OHX14SE,examination,Dental Sealants:  #14,"Dental Sealants:  Upper left 1st molar (1M) sealant codes.These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",Both males and females 3 YEARS -19 YEARS
OHX15SE,examination,Dental Sealants:  #15,"Dental Sealants:  Upper left 2nd molar (2M) sealant codes.These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",Both males and females 3 YEARS -19 YEARS
OHX18SE,examination,Dental Sealants:  #18,"Dental Sealants:  Lower left 2nd molar (2M) sealant codes.These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",Both males and females 3 YEARS -19 YEARS
OHX19SE,examination,Dental Sealants:  #19,"Dental Sealants:  Lower left 1st molar (1M) sealant codes.These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",Both males and females 3 YEARS -19 YEARS
OHX20SE,examination,Dental Sealants:  #20,"Dental Sealants:  Lower left 2nd bicuspid/2nd primary molar (2B) sealant codes.These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",Both males and females 3 YEARS -19 YEARS
OHX21SE,examination,Dental Sealants:  #21,"Dental Sealants:  Lower left 1st bicuspid/1st primary molar (1B) sealant codes.These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",Both males and females 3 YEARS -19 YEARS
OHX28SE,examination,Dental Sealants:  #28,"Dental Sealants:  Lower right 1st bicuspid/1st primary molar (1B) sealant codes.These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",Both males and females 3 YEARS -19 YEARS
OHX29SE,examination,Dental Sealants:  #29,"Dental Sealants:  Lower right 2nd bicuspid/2nd primary molar (2B) sealant codes.These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",Both males and females 3 YEARS -19 YEARS
OHX30SE,examination,Dental Sealants:  #30,"Dental Sealants:  Lower right 1st molar (1M) sealant codes.These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",Both males and females 3 YEARS -19 YEARS
OHX31SE,examination,Dental Sealants:  #31,"Dental Sealants:  Lower right 2nd molar (2M) sealant codes.These values can be recorded as a string variable, for example:""0"", ""12"", ""13"".",Both males and females 3 YEARS -19 YEARS
OHDRCSTS,examination,Recommendation Care Status Code,Recommendation Care Status Code,Both males and females 1 YEARS -150 YEARS
OHAREC,examination,Overall recommendation for care,Overall recommendation for care,Both males and females 1 YEARS -150 YEARS
OHAROCDT,examination,Decayed teeth,Decayed teeth,Both males and females 1 YEARS -150 YEARS
OHAROCGP,examination,Gum disease/problem,Gum disease/problem,Both males and females 1 YEARS -150 YEARS
OHAROCOH,examination,Oral hygiene,Oral hygiene,Both males and females 1 YEARS -150 YEARS
OHAROCCI,examination,Impression of soft tissue condition,Clinical impression of soft tissue condition,Both males and females 1 YEARS -150 YEARS
OHAROCDE,examination,Denture/Partial Denture/Plates,Denture/Partial Denture/Plates,Both males and females 1 YEARS -150 YEARS
OHARNF,examination,No significant findings,No significant findings,Both males and females 1 YEARS -150 YEARS
OHAROTH,examination,Some other finding (specify w/referral),Some other finding (specify w/referral letter),Both males and females 1 YEARS -150 YEARS
OHAPOS,examination,Was participant exam position recumbent,Was the SP in a recumbent (laying down) position for all eligible assessments of the oral health exam?,Both males and females 1 YEARS -150 YEARS
URXUMA,laboratory,"Albumin, urine (ug/mL)","Albumin, urine (ug/mL)",Both males and females 3 YEARS -150 YEARS
